supervoxel_id	root_id	pos_x	pos_y	pos_z	soma_x	soma_y	soma_z	nucleus_id	flow	super_class	cell_class	cell_sub_class	cell_type	hemibrain_type	ito_lee_hemilineage	hartenstein_hemilineage	morphology_group	top_nt	top_nt_conf	side	nerve	vfb_id	fbbt_id	status
80296166549619577	720575940624386539	140888	87168	4784	140888.0	87168.0	4784.0	5872958.0		not_a_neuron	glia							serotonin	0.3823838531970978	right				
79592479040575472	720575940658551937	130136	87064	4142	130136.0	87064.0	4142.0	4708096.0		not_a_neuron	glia							gaba	0.5194801092147827	center				
81421585285644893	720575940618328148	156840	79688	3620	156840.0	79688.0	3620.0	6917382.0		not_a_neuron	glia							acetylcholine	0.5325816869735718	right				
78324604829374821	720575940609340228	111656	68312	5422	111656.0	68312.0	5422.0	3153385.0		not_a_neuron	glia				putative_primary	putative_primary		gaba	0.5097852945327759	left				
77339442007975192	720575940630691980	97232	68408	2157	97232.0	68408.0	2157.0	2120933.0		not_a_neuron	glia							acetylcholine	0.3462456166744232	left				
79662023016814244	720575940632468525	131664	74504	3124	131664.0	74504.0	3124.0	5283855.0		not_a_neuron	glia							serotonin	0.5441825985908508	center				
79026780375187255	720575940612320866	121776	46184	4654	121776.0	46184.0	4654.0	3671489.0		not_a_neuron	glia							glutamate	0.7316786050796509	left				
79662778931256870	720575940624960444	131560	85672	3270	131560.0	85672.0	3270.0	5342606.0		not_a_neuron	glia							acetylcholine	0.471438467502594	center				
81773085342457261	720575940624103241	162112	75376	3357	162112.0	75376.0	3357.0	6918822.0		not_a_neuron	glia							acetylcholine	0.6543322801589966	right				
79521904205560725	720575940632811576	129712	84256	5033	129712.0	84256.0	5033.0	4708032.0		not_a_neuron	glia							acetylcholine	0.4556422233581543	center				
79872854304610493	720575940626194253	134728	70520	2820	134728.0	70520.0	2820.0	5236358.0		not_a_neuron	glia							acetylcholine	0.7284077405929565	right				
80718447331845306	720575940626789787	146648	88368	1948	146648.0	88368.0	1948.0	5871212.0		not_a_neuron	glia							acetylcholine	0.4319228529930115	right				
80294585397497312	720575940630262010	140360	63800	231	140360.0	63800.0	231.0	5767874.0		not_a_neuron	glia							serotonin	0.5586242079734802	right				
79449405157326633	720575940628554343	128176	52296	4818	128176.0	52296.0	4818.0	4534065.0		not_a_neuron	glia							glutamate	0.43312403559684753	center				
82897748097436777	720575940625184514	178928	56280	1831	178928.0	56280.0	1831.0	7394154.0		not_a_neuron	glia							acetylcholine	0.49675896763801575	right				
78254304804575466	720575940616494661	110664	69872	5359	110664.0	69872.0	5359.0	3150884.0		not_a_neuron	glia							acetylcholine	0.6659910082817078	left				
78817185568586882	720575940631922145	119592	69240	1646	119592.0	69240.0	1646.0	3736237.0		not_a_neuron	glia							acetylcholine	0.3805563151836395	left				
80997448809701520	720575940629993987	151360	51048	4761	151360.0	51048.0	4761.0	6388869.0		not_a_neuron	glia							acetylcholine	0.6445726156234741	right				
81773291500649163	720575940620269505	162040	77784	3170	162040.0	77784.0	3170.0	6918804.0		not_a_neuron	glia							acetylcholine	0.6465675234794617	right				
79378073870629543	720575940624902670	127856	37824	1160	127856.0	37824.0	1160.0	4415305.0		not_a_neuron	glia							dopamine	0.49904340505599976	center				
82897473286496410	720575940607850763	179000	52480	2272	179000.0	52480.0	2272.0	7396477.0		not_a_neuron	glia							acetylcholine	0.5505126714706421	right				
81421585286308250	720575940634825464	156824	79648	4045	156824.0	79648.0	4045.0	6917390.0		not_a_neuron	glia							serotonin	0.685389518737793	right				
81632073110168196	720575940619773787	160192	70560	4188	160192.0	70560.0	4188.0	6892155.0		not_a_neuron	glia							glutamate	0.31632623076438904	right				
78043748193845758	720575940624310089	108240	77880	4489	108240.0	77880.0	4489.0	3200722.0		not_a_neuron	glia							acetylcholine	0.3567262291908264	left				
79451810271933054	720575940610204378	128688	87736	4321	128688.0	87736.0	4321.0	4707887.0		not_a_neuron	glia							gaba	0.33879250288009644	center				
79168960972821266	720575940632719443	124608	67320	4865	124608.0	67320.0	4865.0	4648710.0		not_a_neuron	glia							glutamate	0.4256415367126465	center				
79801454969625291	720575940636930672	133104	55424	4361	133104.0	55424.0	4361.0	5069638.0		not_a_neuron	glia							gaba	0.30177241563796997	center				
